CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G8267P108,SW,SMURFIT WESTROCK PLC,527770,527770,3.2B,3.2B,NEW,15.3%
31488V107,FERG,FERGUSON ENTERPRISES INC,76703,76703,725.26M,725.26M,NEW,3.5%
11135F101,AVGO,BROADCOM INC,2994542,2701287,516.56M,465.97M,+921.1%,2.5%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,1096992,1096992,122.05M,122.05M,NEW,0.58%
58733R102,MELI,MERCADOLIBRE INC,111165,58184,228.11M,119.39M,+109.8%,1.1%
92243G108,PCVX,VAXCYTE INC,995779,995779,113.79M,113.79M,NEW,0.54%
007903107,AMD,ADVANCED MICRO DEVICES INC,2640329,672281,433.23M,110.31M,+34.2%,2.1%
697435105,PANW,PALO ALTO NETWORKS INC,300052,276468,102.56M,94.5M,+1172.3%,0.49%
25809K105,DASH,DOORDASH INC,605318,514589,86.4M,73.45M,+567.2%,0.41%
482480100,KLAC,KLA CORP,339335,88823,262.78M,68.79M,+35.5%,1.3%
19247G107,COHR,COHERENT CORP,723238,723238,64.3M,64.3M,NEW,0.31%
82509L107,SHOP,SHOPIFY INC,1871887,790012,150.01M,63.31M,+73%,0.72%
171779309,CIEN,CIENA CORP,1015146,1015146,62.52M,62.52M,NEW,0.3%
453204109,PI,IMPINJ INC,286189,286189,61.97M,61.97M,NEW,0.3%
30303M102,META,META PLATFORMS INC,1444868,102208,827.1M,58.51M,+7.6%,3.9%
68389X105,ORCL,ORACLE CORP,483245,332831,82.34M,56.71M,+221.3%,0.39%
084423102,WRB,BERKLEY W R CORP,2925000,990000,165.94M,56.16M,+51.2%,0.79%
03831W108,APP,APPLOVIN CORP,424353,424353,55.4M,55.4M,NEW,0.26%
18915M107,NET,CLOUDFLARE INC,3595505,669583,290.84M,54.16M,+22.9%,1.4%
336433107,FSLR,FIRST SOLAR INC,673770,210006,168.07M,52.38M,+45.3%,0.8%
M7S64H106,MNDY,MONDAY COM LTD,240045,171692,66.68M,47.69M,+251.2%,0.32%
00847X104,AGIO,AGIOS PHARMACEUTICALS INC,1002036,1002036,44.52M,44.52M,NEW,0.21%
79589L106,IOT,SAMSARA INC,921095,921095,44.32M,44.32M,NEW,0.21%
89677Q107,TCOM,TRIP COM GROUP LTD,737211,737211,43.81M,43.81M,NEW,0.21%
G0896C103,TBBB,BBB FOODS INC,1392191,1392191,41.77M,41.77M,NEW,0.2%
60937P106,MDB,MONGODB INC,214125,139689,57.89M,37.76M,+187.7%,0.28%
482497104,BEKE,KE HLDGS INC,1745725,1735539,34.76M,34.55M,+17038.5%,0.17%
04351P101,ASND,ASCENDIS PHARMA A/S,225000,225000,33.59M,33.59M,NEW,0.16%
64110L106,NFLX,NETFLIX INC,194373,44580,137.86M,31.62M,+29.8%,0.66%
457669307,INSM,INSMED INC,680000,425000,49.64M,31.02M,+166.7%,0.24%
G29183103,ETN,EATON CORP PLC,143651,85294,47.61M,28.27M,+146.2%,0.23%
609839105,MPWR,MONOLITHIC PWR SYS INC,205829,27205,190.29M,25.15M,+15.2%,0.91%
G76279101,ROIV,ROIVANT SCIENCES LTD,3500000,2000000,40.39M,23.08M,+133.3%,0.19%
G9470A102,VTEX,VTEX,4292617,3102133,31.94M,23.08M,+260.6%,0.15%
G7496G103,RNR,RENAISSANCERE HLDGS LTD,1228306,77514,334.59M,21.11M,+6.7%,1.6%
226718104,CRTO,CRITEO S A,516495,516495,20.78M,20.78M,NEW,0.1%
45166A102,IDYA,IDEAYA BIOSCIENCES INC,655000,655000,20.75M,20.75M,NEW,0.1%
15135U109,CVE,CENOVUS ENERGY INC,1017617,1017617,20.53M,20.53M,NEW,0.1%
67059N108,NTNX,NUTANIX INC,865565,332265,51.28M,19.69M,+62.3%,0.24%
05370A108,RNAM,AVIDITY BIOSCIENCES INC,1542126,428025,70.83M,19.66M,+38.4%,0.34%
H01301128,ALC,ALCON AG,215663,215663,19.05M,19.05M,NEW,0.09%
88339J105,TTD,THE TRADE DESK INC,1089615,172155,119.48M,18.88M,+18.8%,0.57%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,605581,48889,223.17M,18.02M,+8.8%,1.1%
05352A100,AVTR,AVANTOR INC,678663,678663,17.56M,17.56M,NEW,0.08%
85205L107,SWTX,SPRINGWORKS THERAPEUTICS INC,1500000,500000,48.06M,16.02M,+50%,0.23%
548661107,LOW,LOWES COS INC,58845,58845,15.94M,15.94M,NEW,0.08%
74366E102,PTGX,PROTAGONIST THERAPEUTICS INC,350000,350000,15.75M,15.75M,NEW,0.08%
683715106,OTEX,OPEN TEXT CORP,377405,377405,15.16M,15.16M,NEW,0.07%
G0692U109,AXS,AXIS CAP HLDGS LTD,182927,182927,14.56M,14.56M,NEW,0.07%
136385101,CNQ,CANADIAN NAT RES LTD,360272,360272,14.43M,14.43M,NEW,0.07%
040413106,,ARISTA NETWORKS INC,856539,37199,328.76M,14.28M,+4.5%,1.6%
52490G102,LEGN,LEGEND BIOTECH CORP,496238,289606,24.18M,14.11M,+140.2%,0.12%
92537N108,VRT,VERTIV HOLDINGS CO,145800,134800,14.51M,13.41M,+1225.5%,0.07%
00922RAD7,ATSG,AIR TRANS SVCS GROUP INC,14240000,14240000,13.33M,13.33M,NEW,0.06%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,356433,356433,13.26M,13.26M,NEW,0.06%
T9224W109,STVN,STEVANATO GROUP S P A,657190,657190,13.14M,13.14M,NEW,0.06%
10806XAB8,BBIO,BRIDGEBIO PHARMA INC,12500000,12500000,12.89M,12.89M,NEW,0.06%
N72482149,QGEN,QIAGEN NV,240484,240484,12.38M,12.38M,NEW,0.06%
278865100,ECL,ECOLAB INC,48298,48298,12.33M,12.33M,NEW,0.06%
37959E102,GL,GLOBE LIFE INC,113556,113556,12.03M,12.03M,NEW,0.06%
82982T106,SITM,SITIME CORP,62171,62171,10.66M,10.66M,NEW,0.05%
852234103,XYZ,BLOCK INC,154924,154924,10.4M,10.4M,NEW,0.05%
538034AU3,,LIVE NATION ENTERTAINMENT IN,9500000,9500000,10.34M,10.34M,NEW,0.05%
152309100,CNTA,CENTESSA PHARMACEUTICALS PLC,640000,640000,10.23M,10.23M,NEW,0.05%
81762P102,NOW,SERVICENOW INC,204250,10971,182.68M,9.81M,+5.7%,0.87%
87164F105,SNDX,SYNDAX PHARMACEUTICALS INC,500000,500000,9.62M,9.62M,NEW,0.05%
L44385109,GLOB,GLOBANT S A,316167,48452,62.65M,9.6M,+18.1%,0.3%
682189105,ON,ON SEMICONDUCTOR CORP,136100,122900,9.88M,8.92M,+931.1%,0.05%
15101Q207,CLS,CELESTICA INC,174288,174288,8.91M,8.91M,NEW,0.04%
453204AD1,PI,IMPINJ INC,4300000,4300000,8.62M,8.62M,NEW,0.04%
N62509109,NAMS,NEWAMSTERDAM PHARMA COMPANY,1505000,502414,24.98M,8.34M,+50.1%,0.12%
M5216V106,GLBE,GLOBAL E ONLINE LTD,213793,213793,8.22M,8.22M,NEW,0.04%
670703107,NUVL,NUVALENT INC,362500,75000,37.08M,7.67M,+26.1%,0.18%
50202MAB8,LI,LI AUTO INC,6000000,6000000,7.15M,7.15M,NEW,0.03%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,310000,25000,85.26M,6.88M,+8.8%,0.41%
093712AK3,BE,BLOOM ENERGY CORP,9500000,7500000,8.7M,6.87M,+375%,0.04%
042068205,ARM,ARM HOLDINGS PLC,686519,47908,98.18M,6.85M,+7.5%,0.47%
771049103,RBLX,ROBLOX CORP,323128,153672,14.3M,6.8M,+90.7%,0.07%
875372203,TNDM,TANDEM DIABETES CARE INC,153952,153952,6.53M,6.53M,NEW,0.03%
05464C101,AXON,AXON ENTERPRISE INC,353028,14279,141.07M,5.71M,+4.2%,0.67%
49845K101,KVYO,KLAVIYO INC,316745,157781,11.21M,5.58M,+99.3%,0.05%
26622P107,DOCS,DOXIMITY INC,120000,120000,5.23M,5.23M,NEW,0.02%
743315103,PGR,PROGRESSIVE CORP,625833,20028,158.81M,5.08M,+3.3%,0.76%
81141R100,SE,SEA LTD,620672,51489,58.52M,4.85M,+9%,0.28%
G8068L108,SN,SHARKNINJA INC,43256,43256,4.7M,4.7M,NEW,0.02%
M2197Q107,CLBT,CELLEBRITE DI LTD,277397,277397,4.67M,4.67M,NEW,0.02%
